rep age_class pos neg total
113 8 69557 265 69822
114 0 5759 68658 74417
114 1 21791 52402 74193
114 2 48445 31598 80043
114 3 57618 28588 86206
114 4 142459 6963 149422
114 5 126880 1171 128051
114 6 101871 524 102395
114 7 68954 179 69133
114 8 69819 3 69822
115 0 14997 59420 74417
115 1 27712 46481 74193
115 2 40459 39584 80043
115 3 65626 20580 86206
115 4 112015 37407 149422
115 5 122940 5111 128051
115 6 98192 4203 102395
115 7 67979 1154 69133
115 8 69482 340 69822
116 0 31829 42588 74417
116 1 56573 17620 74193
116 2 72678 7365 80043
116 3 78827 7379 86206
116 4 143110 6312 149422
116 5 126242 1809 128051
116 6 101359 1036 102395
116 7 68810 323 69133
116 8 69678 144 69822
117 0 21779 52638 74417
117 1 26958 47235 74193
117 2 34980 45063 80043
117 3 38030 48176 86206
117 4 118868 30554 149422
117 5 125680 2371 128051
117 6 100708 1687 102395
117 7 68671 462 69133
117 8 69724 98 69822
118 0 4386 70031 74417
118 1 21838 52355 74193
118 2 30460 49583 80043
118 3 56400 29806 86206
118 4 130327 19095 149422
118 5 122257 5794 128051
118 6 99134 3261 102395
118 7 67975 1158 69133
118 8 69484 338 69822
119 0 28343 46074 74417
119 1 53743 20450 74193
119 2 58611 21432 80043
119 3 63977 22229 86206
119 4 135217 14205 149422
119 5 122742 5309 128051
119 6 98823 3572 102395
119 7 67472 1661 69133
119 8 69602 220 69822
120 0 6390 68027 74417
120 1 28257 45936 74193
120 2 45790 34253 80043
120 3 51407 34799 86206
120 4 143747 5675 149422
120 5 126706 1345 128051
120 6 102002 393 102395
120 7 68961 172 69133
120 8 69806 16 69822
